Variant SKU,Variant Title,Product Title,Product Handle,Product Collection Id,Product Type Id,Product Tag 1,Variant Price EUR,Product Tag 3,Product Tag 2,Product Weight,Product Status,Product Discountable,Variant Manage Inventory,Variant Allow Backorder,Product Thumbnail
3660291001680,Default,ABREUVOIR VOLAILLE SIPHOIDE 1.5L,abreuvoir-volaille-siphoide-1-5l,BASSE COURS,ACCESSOIRES,LOOS ALIMENTS,2.10,5,G3,150,published,TRUE,TRUE,FALSE,
3274590121194,Default,CHARN CARRE 40X40 AC ZG X2,charn-carre-40x40-ac-zg-x2,BRICOLAGE,QUINCAILLERIE,NORAIL,2.10,5,H2,45,published,TRUE,TRUE,FALSE,
3154550229736,Default,EQUER ASSEMB RENF 90X90X65X2.5,equer-assemb-renf-90x90x65x2-5,BRICOLAGE,QUINCAILLERIE,NORAIL 2020,2.10,38,EXT,200,published,TRUE,TRUE,FALSE,
3039660121043,Default,RONDELLES UNIVERSELLES D 100 - SACHET 10 - LE PARFAIT,rondelles-universelles-d-100-sachet-10-le-parfait,CONSERVERIE,RONDELLES,CDP 2021,2.10,36,D4,170,published,TRUE,TRUE,FALSE,
3261230502000,Default,LIEN ARME AVEC CUTTER,lien-arme-avec-cutter,JARDIN,ACCESSOIRES,LEDUC LUBOT JANNY,2.15,18,H1,10,published,TRUE,TRUE,FALSE,
8720195794646,Default,PLUVIOMETRE + SUPPORT,pluviometre-support,JARDIN,ACCESSOIRES,ZENTRADA,2.20,8,A7,120,published,TRUE,TRUE,FALSE,
8720812426738,Default,MINI RATEAU DE JARDIN MANCHE B,mini-rateau-de-jardin-manche-b,JARDIN,OUTILS DE JARDIN,ZENTRADA,2.20,9,D2,185,published,TRUE,TRUE,FALSE,
4018653836705,Default,LAISSE ETROITE MIAMI,laisse-etroite-miami,ANIMALERIE,LAISSE,DIVERS,2.25,10,G0,100,published,TRUE,TRUE,FALSE,
3760043130375,Default,PIED GOUTTEUR,pied-goutteur,JARDIN,ACCESSOIRES,LEDUC LUBOT,2.25,18,A5,50,published,TRUE,TRUE,FALSE,
3600078860239,Default,LANCE ABS JET REGLABLE,lance-abs-jet-reglable,JARDIN,ARROSAGE,BRICODEAL,2.25,3,H6,40,published,TRUE,TRUE,FALSE,
3600070987552,Default,RAC REPAR UNIVERSEL,rac-repar-universel,JARDIN,ARROSAGE,BRICODEAL,2.29,9,H7,45,published,TRUE,TRUE,FALSE,
3274590215480,Default,FERMOIR LEVIER 75 AC ZG,fermoir-levier-75-ac-zg,BRICOLAGE,QUINCAILLERIE,NORAIL,2.35,5,G7,40,published,TRUE,TRUE,FALSE,
3154550257388,Default,EMBOUT DE VISSAGE PZ3 X2,embout-de-vissage-pz3-x2,BRICOLAGE,QUINCAILLERIE,NORAIL,2.35,11,G8,20,published,TRUE,TRUE,FALSE,
3154551439110,Default,MOUSQUETON ALPIN SIMPLE 80 MM GALVA,mousqueton-alpin-simple-80-mm-galva,BRICOLAGE,QUINCAILLERIE,NORAIL 2020,2.35,3,G7,8,published,TRUE,TRUE,FALSE,
3157334490001,Default,GOUGE DE DESHERBAGE ET ASPERGES MANCHE BOIS CERTIFIE PEFC 100%,gouge-de-desherbage-et-asperges-manche-bois-certifie-pefc-100,JARDIN,OUTILS JARDIN,LEBORGNE 2021,12.15,1,G6,450,published,TRUE,TRUE,FALSE,
3308086200022,Default,TAUPES -  PIEGE A TAUPES ET CAMPAGNOLS - ETUI DE 2 PIEGES D 45 MM,taupes-piege-a-taupes-et-campagnols-etui-de-2-pieges-d-45-mm,ANTI NUISIBLES,PIEGE,PROTECTA 2020,12.35,9,E4,210,published,TRUE,TRUE,FALSE,
3660231157330,Default,EPUISETTE DE SURFACE,epuisette-de-surface,PISCINE,ACCESSOIRES,BRICODEAL,12.40,2,G1,300,published,TRUE,TRUE,FALSE,
3700473315669,Default,LEVE + PINCE JERO,leve-pince-jero,APICULTURE,ACCESSOIRES,LA JOCONDIENNE,13.10,2,B3,230,published,TRUE,TRUE,FALSE,
3700206403311,Default,ROULEAU GAUFFRES 30 X 600 CM - POCHE DE 2 RLX - LE PRATIQUE,rouleau-gauffres-30-x-600-cm-poche-de-2-rlx-le-pratique,CONSERVERIE,ACCESSOIRES,CDP 2021,13.10,19,C2,600,published,TRUE,TRUE,FALSE,
3086960264109,Default,ARROSOIR EXTRA FORT 13 L,arrosoir-extra-fort-13-l,JARDIN,ARROSAGE,DIVERS,13.10,2,C1,930,published,TRUE,TRUE,FALSE,
3588900007801,Default,CHAUSSON BOTTE AVORIAZ T36,chausson-botte-avoriaz-t36,TEXTILE,"CHAUSSETTES, SEMELLES",CLAIE SEMELLE,13.24,1,G11,80,published,TRUE,TRUE,FALSE,
3588900007802,Default,CHAUSSON BOTTE AVORIAZ T37,chausson-botte-avoriaz-t37,TEXTILE,"CHAUSSETTES, SEMELLES",CLAIE SEMELLE,13.24,2,G11,80,published,TRUE,TRUE,FALSE,
3588900007680,Default,CHAUSSON BOTTE AVORIAZ T38,chausson-botte-avoriaz-t38,TEXTILE,"CHAUSSETTES, SEMELLES",CLAIE SEMELLE,13.24,2,G11,80,published,TRUE,TRUE,FALSE,
3588900007826,Default,CHAUSSON BOTTE AVORIAZ T39,chausson-botte-avoriaz-t39,TEXTILE,"CHAUSSETTES, SEMELLES",CLAIE SEMELLE,13.24,1,G11,80,published,TRUE,TRUE,FALSE,
3588900007888,Default,CHAUSSON BOTTE AVORIAZ T44,chausson-botte-avoriaz-t44,TEXTILE,"CHAUSSETTES, SEMELLES",CLAIE SEMELLE,13.24,2,G11,80,published,TRUE,TRUE,FALSE,
3588900007895,Default,CHAUSSON BOTTE AVORIAZ T45,chausson-botte-avoriaz-t45,TEXTILE,"CHAUSSETTES, SEMELLES",CLAIE SEMELLE,13.24,1,G11,80,published,TRUE,TRUE,FALSE,
3588900007896,Default,CHAUSSON BOTTE AVORIAZ T46,chausson-botte-avoriaz-t46,TEXTILE,"CHAUSSETTES, SEMELLES",CLAIE SEMELLE,13.24,1,G11,80,published,TRUE,TRUE,FALSE,
3549900024756,Default,MINI SERRE RIGIDE,mini-serre-rigide,JARDIN,SEMIS,LEDUC LUBOT,13.25,1,A1,450,published,TRUE,TRUE,FALSE,
3354120155179,Default,MELANGE FLEURS JACHERES HAUTES 100G,melange-fleurs-jacheres-hautes-100g,JARDIN,GRAINES FLORALES,CATROS GERAND,11.75,1,F2,380,published,TRUE,TRUE,FALSE,
3353090073292,Default,GANTS T7 PRO PLANTATION CUIR HYDRO,gants-t7-pro-plantation-cuir-hydro,JARDIN,GANTS ET PROTECTION,ROSTAING,13.39,3,A3,150,published,TRUE,TRUE,FALSE,
3700473314112,Default,GANT APICULTEUR LATEX T9,gant-apiculteur-latex-t9,APICULTURE,ACCESSOIRES,LA JOCONDIENNE,13.40,2,B1,212,published,TRUE,TRUE,FALSE,
5907630113139,Default,KIT ARROSAGE,kit-arrosage,JARDIN,ARROSAGE,ZENTRADA,13.45,1,H8,390,published,TRUE,TRUE,FALSE,
3473832613071,Default,LYON PACK 3 T-SHIRTS UNIS 2XL,lyon-pack-3-t-shirts-unis-2xl,TEXTILE,VETEMENTS DE TRAVAIL,LMA LEBEURRE2021,13.65,1,G10,650,published,TRUE,TRUE,FALSE,
3039660006753,Default,TERRINE FW 750 D 100 - PACK 6 - LE PARFAIT,terrine-fw-750-d-100-pack-6-le-parfait,CONSERVERIE,BOCAUX,CDP 2021,13.70,4,E5,2900,published,TRUE,TRUE,FALSE,
5907630113122,Default,KIT ARROSAGE 3/4 PISTOLET,kit-arrosage-3-4-pistolet,JARDIN,ARROSAGE,ZENTRADA,13.80,1,H8,360,published,TRUE,TRUE,FALSE,
3157334570307,Default,MINIROTOGRIF' 3 DENTS,minirotogrif-3-dents,JARDIN,OUTILS JARDIN,LEBORGNE 2021,13.99,1,G6,250,published,TRUE,TRUE,FALSE,
3154551549406,Default,STARB TX INOX A2 4X30 BCBV 200,starb-tx-inox-a2-4x30-bcbv-200,BRICOLAGE,VISSERIE,NORAIL 2020,14.70,1,A2,450,published,TRUE,TRUE,FALSE,
5907630113092,Default,PISTOLET ARROSAGE POUR LANCE,pistolet-arrosage-pour-lance,JARDIN,ARROSAGE,ZENTRADA,14.70,1,H5,320,published,TRUE,TRUE,FALSE,
3039660006913,Default,TERRINE FW 1000 D 100 - PACK 6 - LE PARFAIT,terrine-fw-1000-d-100-pack-6-le-parfait,CONSERVERIE,BOCAUX,CDP 2021,14.75,4,E5,3350,published,TRUE,TRUE,FALSE,
8721178201373,Default,KIT TUYAU ARROS 15M + ENROULEU,kit-tuyau-arros-15m-enrouleu,JARDIN,ARROSAGE,ZENTRADA,14.79,1,C1,1200,published,TRUE,TRUE,FALSE,
3700206403373,Default,BASSINE INOX 2 ANSES D 38 CM - 9 L - LE PRATIQUE,bassine-inox-2-anses-d-38-cm-9-l-le-pratique,CONSERVERIE,ACCESSOIRES,CDP 2021,15.10,2,G0,1200,published,TRUE,TRUE,FALSE,
3308085050109,Default,VOLANTS - AEROSOL INSECTICIDE PYRETHRE VEGETAL AUTOMATIQUE POUR DIFFUSEUR 25,volants-aerosol-insecticide-pyrethre-vegetal-automatique-pour-diffuseur-25,ANTI NUISIBLES,INSECTICIDES,PROTECTA 2020,15.25,7,A6,250,published,TRUE,TRUE,FALSE,
8033844763352,Default,PANIER DE TRANSPORT CALIPSO POUR CHATS ANIS,panier-de-transport-calipso-pour-chats-anis,ANIMALERIE,ACCESSOIRES,LOOS ALIMENTS,15.29,1,D1,1450,published,TRUE,TRUE,FALSE,
8033844763353,Default,PANIER DE TRANSPORT CALIPSO POUR CHATS BORDEAUX,panier-de-transport-calipso-pour-chats-bordeaux,ANIMALERIE,ANIMALERIE DIVERS,LOOS ALIMENTS,15.29,1,D1,1450,published,TRUE,TRUE,FALSE,
3308086000011,Default,"MOUCHES - SAC A MOUCHES JETABLE (25) - POCHETTE DE 1 SAC JETABLE 2,5 LITRES AVE",mouches-sac-a-mouches-jetable-25-pochette-de-1-sac-jetable-2-5-litres-ave,ANTI NUISIBLES,INSECTICIDES,PROTECTA 2020,15.64,10,D5,180,published,TRUE,TRUE,FALSE,
3760178050272,Default,CHARME ABEILLE AEROSOL,charme-abeille-aerosol,APICULTURE,ACCESSOIRES,LA JOCONDIENNE,15.70,12,B4,450,published,TRUE,TRUE,FALSE,
3154551549413,Default,STARB TX INOX A2 4X40 BCBV 200,starb-tx-inox-a2-4x40-bcbv-200,BRICOLAGE,VISSERIE,NORAIL 2020,15.85,1,A2,550,published,TRUE,TRUE,FALSE,
5029727008026,Default,GRILLAGE TRIPLE TORSION GALVA 13/0.6 H50 M10,grillage-triple-torsion-galva-13-0-6-h50-m10,JARDIN,GRILLAGES ET CLÔTURES FIXES,CAVATORTA,15.85,4,H5,1600,published,TRUE,TRUE,FALSE,
3700473314150,Default,GANT CONFORT BOVIN T8,gant-confort-bovin-t8,APICULTURE,ACCESSOIRES,LA JOCONDIENNE,15.90,5,B1,170,published,TRUE,TRUE,FALSE,
3700473314167,Default,GANT CONFORT BOVIN T9,gant-confort-bovin-t9,APICULTURE,ACCESSOIRES,LA JOCONDIENNE,15.90,2,B1,170,published,TRUE,TRUE,FALSE,
3700473314174,Default,GANT CONFORT BOVIN T10,gant-confort-bovin-t10,APICULTURE,ACCESSOIRES,LA JOCONDIENNE,15.90,5,B1,190,published,TRUE,TRUE,FALSE,
8015825049303,Default,PINCES BABY GRAF 16/20 SOUS COQUE,pinces-baby-graf-16-20-sous-coque,JARDIN,GRILLAGES ET CLÔTURES FIXES,CAVATORTA,15.90,10,B2,250,published,TRUE,TRUE,FALSE,
3660231148918,Default,BROSSE DE PAROIE,brosse-de-paroie,PISCINE,ACCESSOIRES,BRICODEAL,15.95,2,G1,450,published,TRUE,TRUE,FALSE,
3549900028945,Default,FILM MARAICHAGE L.2M X L.10M,film-maraichage-l-2m-x-l-10m,JARDIN,SEMIS,LEDUC LUBOT JANNY,16.10,2,B1,1350,published,TRUE,TRUE,FALSE,
3285820006631,Default,MULT SUPP.VERT OLIVE 500ML,mult-supp-vert-olive-500ml,BRICOLAGE,PEINTURE,DOD,16.50,2,E4,720,published,TRUE,TRUE,FALSE,
3261543118219,Default,XYLO PH AQUEUSE MULTI USAGE 1L,xylo-ph-aqueuse-multi-usage-1l,BRICOLAGE,SATURATEUR,DOD,16.50,1,E4,1180,published,TRUE,TRUE,FALSE,
8435039002305,Default,TREMIE SILO 8 KG PLASTIQUE VERT,tremie-silo-8-kg-plastique-vert,BASSE COURS,ACCESSOIRES,LOOS ALIMENTS,16.85,2,G3,850,published,TRUE,TRUE,FALSE,
3261544217249,Default,XYLO DECAPANT GEL MULTI SUPPORT 1L,xylo-decapant-gel-multi-support-1l,BRICOLAGE,DECAPANT,DOD,17.10,1,E4,1100,published,TRUE,TRUE,FALSE,
3283985045038,Default,COLLE GEB SOBLUE,colle-geb-soblue,PISCINE,ACCESSOIRES,BRICODEAL,17.10,2,G1,550,published,TRUE,TRUE,FALSE,
8717344998468,Default,TUYAU ARROSAGE SIMPLE 30M,tuyau-arrosage-simple-30m,JARDIN,ARROSAGE,ZENTRADA,17.40,3,F1,2550,published,TRUE,TRUE,FALSE,
3600075608162,Default,MINUTEUR 1 VOIE SINKRO,minuteur-1-voie-sinkro,JARDIN,ARROSAGE,BRICODEAL,18.10,1,H1,260,published,TRUE,TRUE,FALSE,
3661521111254,Default,ADDICT LASURE GLYCERO 2L5 CH CLAIR,addict-lasure-glycero-2l5-ch-clair,BRICOLAGE,LASURE,DOD,18.50,2,B5,3000,published,TRUE,TRUE,FALSE,
3700473315317,Default,ENFUMOIR SMOG INOX / SOUFFLET,enfumoir-smog-inox-soufflet,APICULTURE,ACCESSOIRES,LA JOCONDIENNE,18.70,4,B5,780,published,TRUE,TRUE,FALSE,
3660529017599,Default,PULL COMMANDO 2XL,pull-commando-2xl,TEXTILE,VETEMENTS DE TRAVAIL,TREESCO,19.05,1,F3,750,published,TRUE,TRUE,FALSE,
3661521111230,Default,ADDICT LASURE GLYCERO 2L5 CHENE,addict-lasure-glycero-2l5-chene,BRICOLAGE,LASURE,DOD,19.45,2,B5,2900,published,TRUE,TRUE,FALSE,
3661521111278,Default,ADDICT LASURE GLYCERO 2.5 L CH RUST,addict-lasure-glycero-2-5-l-ch-rust,BRICOLAGE,LASURE,DOD,19.45,2,B5,2900,published,TRUE,TRUE,FALSE,
3700206404318,Default,BALANCE DE CUISINE MECANIQUE 5 KG - LE PRATIQUE  PLATEAU BOL INOX : D 21 CM,balance-de-cuisine-mecanique-5-kg-le-pratique-plateau-bol-inox-d-21-cm,CONSERVERIE,ACCESSOIRES,CDP 2021,19.85,1,E1,1350,published,TRUE,TRUE,FALSE,
8718426007573,Default,ABREUVOIR SEAU SUSPENDU 12L,abreuvoir-seau-suspendu-12l,BASSE COURS,ACCESSOIRES BASSE COUR,LA FERME DE BEAUMONT,20.30,3,B6,950,published,TRUE,TRUE,FALSE,
3154551522836,Default,VIS STARBLOCK TX 5 X 40 BC500,vis-starblock-tx-5-x-40-bc500,BRICOLAGE,VISSERIE,NORAIL 2020,20.45,1,A2,1850,published,TRUE,TRUE,FALSE,
3660231416253,Default,EPUISETTE DE FOND,epuisette-de-fond,PISCINE,ACCESSOIRES,BRICODEAL,20.75,1,G1,200,published,TRUE,TRUE,FALSE,
3308086000202,Default,MOUCHES - SAC A MOUCHES - RECHARGE SAC : 2 SACS + 6 SACHETS D’APPATS HYDROSO,mouches-sac-a-mouches-recharge-sac-2-sacs-6-sachets-dappats-hydroso,ANTI NUISIBLES,INSECTICIDES,PROTECTA 2020,20.95,2,E4,190,published,TRUE,TRUE,FALSE,
3154551549420,Default,STARB TX INOX A2 4X50 BCBV 200,starb-tx-inox-a2-4x50-bcbv-200,BRICOLAGE,VISSERIE,NORAIL 2020,21.50,1,A2,600,published,TRUE,TRUE,FALSE,
3473832018012,Default,TONNERRE PANTALON DE PLUIE MARINE T6,tonnerre-pantalon-de-pluie-marine-t6,TEXTILE,VETEMENTS DE TRAVAIL,LMA LEBEURRE2021,21.55,1,F3,900,published,TRUE,TRUE,FALSE,
3473832018029,Default,TONNERRE PANTALON DE PLUIE MARINE T7,tonnerre-pantalon-de-pluie-marine-t7,TEXTILE,VETEMENTS DE TRAVAIL,LMA LEBEURRE2021,21.55,1,F3,900,published,TRUE,TRUE,FALSE,
3473830525277,Default,CHARBON PANTALON GRIS ET NOIR,charbon-pantalon-gris-et-noir,TEXTILE,VETEMENTS DE TRAVAIL,LMA LEBEURRE2021,21.75,1,F3,550,published,TRUE,TRUE,FALSE,
3366440000657,Default,"REPOUSSEUR A ULTRASONS RAT, SOURIS …, 150M²",repousseur-a-ultrasons-rat-souris-150m2,ANTI NUISIBLES,ANTI NUISIBLES,MASY 2020,22.15,1,E4,320,published,TRUE,TRUE,FALSE,
3760059707462,Default,NASSE RAT TUNNEL,nasse-rat-tunnel,ANTI NUISIBLES,PIEGE,START 2021,22.60,8,D6,470,published,TRUE,TRUE,FALSE,
8718375339961,Default,PULV 16 LITRES HAUTE PRESSION,pulv-16-litres-haute-pression,JARDIN,ARROSAGE,ZENTRADA,22.65,2,B6,2300,published,TRUE,TRUE,FALSE,
3359192001584,Default,BALAIS ABS,balais-abs,PISCINE,ACCESSOIRES,BRICODEAL,23.59,2,G1,1100,published,TRUE,TRUE,FALSE,
3473832722391,Default,SULFATE PANTALON BICOLORE MULTIPOCHES GRIS SOMBRE/NOIR T44,sulfate-pantalon-bicolore-multipoches-gris-sombre-noir-t44,TEXTILE,VETEMENTS DE TRAVAIL,LMA LEBEURRE2021,23.85,1,F3,650,published,TRUE,TRUE,FALSE,
3661521137865,Default,ADDICT SATURATEUR 2L5 INCOLORE,addict-saturateur-2l5-incolore,BRICOLAGE,SATURATEUR,DOD,23.89,4,B5,2900,published,TRUE,TRUE,FALSE,
3087916474115,Default,MINI MANCHX2,mini-manchx2,BRICOLAGE,ACCESSOIRES,DOD,2.45,1,G7,35,published,TRUE,TRUE,FALSE,
2001001010553,Default,TIGE FILETEE EN 14 (BLANC),tige-filetee-en-14-blanc,BRICOLAGE,QUINCAILLERIE,NORAIL,2.50,16,EXT,1500,published,TRUE,TRUE,FALSE,
3700206404530,Default,LOT 30 ETIQUETTES LE PRATIQUE,lot-30-etiquettes-le-pratique,CONSERVERIE,ACCESSOIRES,CDP 2021,2.50,6,E2,30,published,TRUE,TRUE,FALSE,
3274590010030,Default,TOURIL TRI BOIS 401 D6 BL45,touril-tri-bois-401-d6-bl45,BRICOLAGE,QUINCAILLERIE,NORAIL,2.55,5,G8,50,published,TRUE,TRUE,FALSE,
3366440001128,Default,NASSE A SOURIS 1 ENTREE DIMENSIONS 12X6X6 CM,nasse-a-souris-1-entree-dimensions-12x6x6-cm,ANTI NUISIBLES,PIEGE,MASY 2020,2.65,6,D2,70,published,TRUE,TRUE,FALSE,
3600078860208,Default,RACCORD RAPIDE STOP 19MM,raccord-rapide-stop-19mm,JARDIN,ARROSAGE,BRICODEAL,2.65,8,H7,35,published,TRUE,TRUE,FALSE,
3274590121217,Default,CHARN CARRE 60X60 AC ZG X2,charn-carre-60x60-ac-zg-x2,BRICOLAGE,QUINCAILLERIE,NORAIL,2.69,5,G7,90,published,TRUE,TRUE,FALSE,
3308083080047,Default,RODICLAC : GLU CONTRE LES RONGEURS ET INSECTES RAMPANTS. - TUBE DE 135 G EN ETU,rodiclac-glu-contre-les-rongeurs-et-insectes-rampants-tube-de-135-g-en-etu,ANTI NUISIBLES,PIEGE,PROTECTA 2020,2.75,12,E2,170,published,TRUE,TRUE,FALSE,
3438617892980,Default,COLLIER PLASTIQUE SPECIAL ARBRES L 45,collier-plastique-special-arbres-l-45,JARDIN,ACCESSOIRES,LEDUC LUBOT JANNY,2.80,11,H1,80,published,TRUE,TRUE,FALSE,
5021689019300,Default,BIBERON RONGEUR CLASSIC 600ML,biberon-rongeur-classic-600ml,BASSE COURS,ACCESSOIRES,LOOS ALIMENTS,2.85,17,G2,50,published,TRUE,TRUE,FALSE,
8718426002837,Default,MANGEOIRE POUSSIN PLASTIQUE 30 CM,mangeoire-poussin-plastique-30-cm,BASSE COURS,ACCESSOIRES BASSE COUR,LA FERME DE BEAUMONT,2.90,6,G2,130,published,TRUE,TRUE,FALSE,
3549900024787,Default,LOT DE 36 GODET BIODEGRADABLES,lot-de-36-godet-biodegradables,JARDIN,SEMIS,LEDUC LUBOT,2.90,5,C2,110,published,TRUE,TRUE,FALSE,
3274590083676,Default,TARG CLASS AC NK 25,targ-class-ac-nk-25,BRICOLAGE,QUINCAILLERIE,NORAIL,2.95,1,G7,40,published,TRUE,TRUE,FALSE,
3086960203634,Default,COUPE D.27+SOUC+TRINGLE GRIS,coupe-d-27-souc-tringle-gris,JARDIN,POTERIE PLASTIQUE,BRICODEAL,2.95,2,B3,150,published,TRUE,TRUE,FALSE,
3549900024831,Default,GODETS DE CULTURE EN PLAQUE 30 POTS,godets-de-culture-en-plaque-30-pots,JARDIN,SEMIS,LEDUC LUBOT JANNY,2.95,14,C2,110,published,TRUE,TRUE,FALSE,
3154551580492,Default,PORTE EMB. STARB TX T10A30 X5,porte-emb-starb-tx-t10a30-x5,BRICOLAGE,QUINCAILLERIE,NORAIL 2020,2.98,3,G7,50,published,TRUE,TRUE,FALSE,
3549900017635,Default,ETIQUETTES H.30CM,etiquettes-h-30cm,JARDIN,ACCESSOIRES,LEDUC LUBOT JANNY,2.99,8,A5,60,published,TRUE,TRUE,FALSE,
2001001010058,Default,LAISSE BLEU 130,laisse-bleu-130,ANIMALERIE,LAISSE,DIVERS,3.00,11,G0,110,published,TRUE,TRUE,FALSE,
2001001010057,Default,LAISSE ROUGE 130,laisse-rouge-130,ANIMALERIE,LAISSE,DIVERS,3.00,20,G0,110,published,TRUE,TRUE,FALSE,
